classification_1,classification_2,classification_3,HOMEOWNER_DESC,classification_5,classification_4,KID_CATEGORY_DESC,household_key
Age Group6,X,Level4,Homeowner,Group5,2,None/Unknown,1
Age Group4,X,Level5,Homeowner,Group5,2,None/Unknown,7
Age Group2,Y,Level3,Unknown,Group4,3,1,8
Age Group2,Y,Level6,Homeowner,Group4,4,2,13
Age Group4,Z,Level5,Homeowner,Group3,1,None/Unknown,16
Age Group6,Z,Level1,Homeowner,Group5,2,None/Unknown,17
Age Group4,X,Level7,Homeowner,Group5,2,None/Unknown,18
Age Group3,Z,Level2,Unknown,Group3,1,None/Unknown,19
Age Group2,X,Level6,Renter,Group5,2,None/Unknown,20
Age Group4,X,Level6,Homeowner,Group5,2,None/Unknown,22
Age Group3,Y,Level5,Unknown,Group6,1,None/Unknown,25
Age Group4,Y,Level3,Probable Renter,Group3,1,None/Unknown,27
Age Group3,Z,Level4,Homeowner,Group5,2,None/Unknown,31
Age Group3,X,Level8,Homeowner,Group5,2,None/Unknown,39
Age Group4,Y,Level1,Homeowner,Group5,2,None/Unknown,40
Age Group6,Y,Level5,Unknown,Group2,1,None/Unknown,42
Age Group3,Z,Level2,Homeowner,Group4,5+,3+,43
Age Group4,X,Level9,Homeowner,Group4,5+,3+,46
Age Group1,Y,Level4,Homeowner,Group5,2,None/Unknown,48
Age Group3,X,Level4,Homeowner,Group5,2,None/Unknown,49
Age Group4,Z,Level5,Homeowner,Group5,2,None/Unknown,52
Age Group6,X,Level4,Homeowner,Group5,2,None/Unknown,55
Age Group5,X,Level7,Homeowner,Group4,4,2,56
Age Group4,Z,Level4,Homeowner,Group5,2,None/Unknown,57
Age Group2,X,Level9,Homeowner,Group4,4,2,58
Age Group4,X,Level1,Homeowner,Group4,5+,3+,67
Age Group3,X,Level3,Homeowner,Group3,2,None/Unknown,71
Age Group6,X,Level2,Homeowner,Group5,2,None/Unknown,74
Age Group3,X,Level7,Homeowner,Group4,5+,3+,77
Age Group5,Y,Level3,Unknown,Group2,1,None/Unknown,78
Age Group4,Y,Level5,Homeowner,Group5,2,None/Unknown,80
Age Group2,Y,Level4,Unknown,Group2,1,None/Unknown,85
Age Group6,Z,Level4,Homeowner,Group2,1,None/Unknown,86
Age Group4,Y,Level6,Unknown,Group3,1,None/Unknown,97
Age Group3,Y,Level4,Unknown,Group1,2,1,98
Age Group4,X,Level1,Homeowner,Group4,4,2,101
Age Group3,X,Level4,Homeowner,Group4,5+,3+,104
Age Group2,Z,Level1,Homeowner,Group1,3,2,105
Age Group2,X,Level2,Homeowner,Group3,2,None/Unknown,109
Age Group2,Y,Level4,Homeowner,Group3,1,None/Unknown,110
Age Group3,X,Level8,Homeowner,Group4,4,2,113
Age Group2,Y,Level4,Homeowner,Group5,2,None/Unknown,114
Age Group6,Z,Level4,Probable Owner,Group5,2,None/Unknown,117
Age Group4,Z,Level4,Homeowner,Group3,1,None/Unknown,118
Age Group4,Y,Level8,Unknown,Group2,1,None/Unknown,119
Age Group4,Y,Level3,Unknown,Group4,3,1,121
Age Group4,Z,Level4,Homeowner,Group5,2,None/Unknown,123
Age Group4,Y,Level3,Unknown,Group3,1,None/Unknown,127
Age Group4,Y,Level5,Unknown,Group5,2,None/Unknown,131
Age Group4,X,Level1,Homeowner,Group2,2,None/Unknown,133
Age Group5,X,Level3,Homeowner,Group3,2,None/Unknown,134
Age Group4,Y,Level5,Unknown,Group6,1,None/Unknown,136
Age Group3,Z,Level6,Homeowner,Group2,1,None/Unknown,139
Age Group4,Y,Level4,Homeowner,Group5,2,None/Unknown,149
Age Group3,Z,Level5,Homeowner,Group4,3,1,155
Age Group1,Y,Level2,Homeowner,Group5,2,None/Unknown,157
Age Group4,Y,Level5,Homeowner,Group6,1,None/Unknown,158
Age Group4,Y,Level1,Homeowner,Group5,2,None/Unknown,159
Age Group1,X,Level6,Unknown,Group4,3,1,161
Age Group4,Y,Level4,Unknown,Group5,2,None/Unknown,164
Age Group5,X,Level4,Homeowner,Group5,2,None/Unknown,165
Age Group2,X,Level5,Homeowner,Group4,3,1,166
Age Group2,X,Level7,Homeowner,Group4,4,2,170
Age Group2,X,Level3,Homeowner,Group1,5+,3+,178
Age Group4,Y,Level3,Unknown,Group2,1,None/Unknown,184
Age Group4,X,Level4,Homeowner,Group2,2,None/Unknown,192
Age Group4,X,Level6,Homeowner,Group5,2,None/Unknown,193
Age Group3,X,Level1,Homeowner,Group4,3,1,198
Age Group4,X,Level2,Homeowner,Group4,5+,3+,201
Age Group4,Y,Level5,Homeowner,Group5,2,None/Unknown,208
Age Group4,Y,Level3,Homeowner,Group4,3,1,209
Age Group6,X,Level4,Homeowner,Group3,2,None/Unknown,211
Age Group3,Y,Level1,Unknown,Group3,1,None/Unknown,212
Age Group5,Z,Level1,Homeowner,Group5,2,None/Unknown,214
Age Group3,Y,Level5,Homeowner,Group6,1,None/Unknown,216
Age Group4,X,Level2,Homeowner,Group5,2,None/Unknown,218
Age Group5,X,Level9,Homeowner,Group5,2,None/Unknown,219
Age Group4,X,Level4,Homeowner,Group5,2,None/Unknown,220
Age Group6,Y,Level2,Unknown,Group6,1,None/Unknown,221
Age Group3,X,Level4,Unknown,Group5,2,None/Unknown,222
Age Group2,Y,Level3,Unknown,Group3,1,None/Unknown,230
Age Group3,Y,Level4,Unknown,Group5,2,None/Unknown,232
Age Group3,X,Level12,Homeowner,Group4,5+,3+,235
Age Group4,Y,Level5,Renter,Group6,1,None/Unknown,239
Age Group4,X,Level6,Homeowner,Group4,5+,3+,242
Age Group6,Y,Level5,Homeowner,Group5,2,None/Unknown,243
Age Group3,X,Level8,Homeowner,Group4,4,2,248
Age Group3,X,Level1,Renter,Group6,3,1,249
Age Group4,X,Level6,Homeowner,Group1,4,2,250
Age Group4,Y,Level1,Unknown,Group3,1,None/Unknown,253
Age Group2,Y,Level5,Homeowner,Group5,2,None/Unknown,256
Age Group2,Y,Level3,Unknown,Group1,3,2,257
Age Group4,Y,Level4,Unknown,Group5,2,None/Unknown,263
Age Group4,Y,Level6,Homeowner,Group5,2,None/Unknown,264
Age Group3,Y,Level4,Unknown,Group2,1,None/Unknown,276
Age Group3,Z,Level5,Homeowner,Group3,1,None/Unknown,281
Age Group4,Y,Level4,Unknown,Group3,1,None/Unknown,282
Age Group2,X,Level5,Homeowner,Group5,2,None/Unknown,283
Age Group4,Z,Level7,Homeowner,Group2,1,None/Unknown,289
Age Group2,Y,Level4,Unknown,Group5,2,None/Unknown,290
Age Group2,X,Level5,Homeowner,Group4,4,2,294
Age Group5,X,Level1,Unknown,Group3,2,None/Unknown,300
Age Group3,X,Level4,Homeowner,Group4,4,2,301
Age Group4,Y,Level4,Homeowner,Group4,3,1,302
Age Group2,Y,Level5,Unknown,Group5,2,None/Unknown,304
Age Group1,Y,Level4,Homeowner,Group4,4,2,306
Age Group2,X,Level6,Homeowner,Group2,2,None/Unknown,309
Age Group4,Y,Level6,Homeowner,Group4,3,1,314
Age Group4,X,Level6,Homeowner,Group2,2,None/Unknown,317
Age Group4,Y,Level4,Homeowner,Group1,4,3+,319
Age Group4,X,Level7,Homeowner,Group5,2,None/Unknown,321
Age Group4,Y,Level5,Unknown,Group3,1,None/Unknown,324
Age Group3,X,Level6,Homeowner,Group4,4,2,325
Age Group2,Y,Level6,Unknown,Group3,1,None/Unknown,329
Age Group3,X,Level8,Homeowner,Group4,5+,3+,332
Age Group4,X,Level1,Homeowner,Group5,2,None/Unknown,334
Age Group6,X,Level5,Homeowner,Group5,2,None/Unknown,346
Age Group4,X,Level5,Homeowner,Group1,4,2,350
Age Group4,Y,Level5,Unknown,Group6,1,None/Unknown,351
Age Group4,X,Level9,Homeowner,Group5,2,None/Unknown,353
Age Group2,X,Level4,Homeowner,Group4,5+,3+,354
Age Group3,Y,Level5,Homeowner,Group5,2,None/Unknown,358
Age Group4,Y,Level5,Unknown,Group6,1,None/Unknown,361
Age Group6,Y,Level5,Unknown,Group2,1,None/Unknown,362
Age Group5,X,Level5,Homeowner,Group5,2,None/Unknown,367
Age Group6,Y,Level5,Unknown,Group5,2,None/Unknown,370
Age Group3,X,Level6,Homeowner,Group4,3,1,371
Age Group4,X,Level5,Homeowner,Group5,2,None/Unknown,377
Age Group5,X,Level5,Homeowner,Group3,2,None/Unknown,378
Age Group2,Z,Level4,Homeowner,Group1,2,1,381
Age Group4,Y,Level5,Homeowner,Group6,1,None/Unknown,383
Age Group2,X,Level5,Homeowner,Group4,5+,3+,385
Age Group3,Z,Level3,Probable Owner,Group3,1,None/Unknown,386
Age Group2,Z,Level5,Homeowner,Group3,1,None/Unknown,387
Age Group3,Y,Level9,Probable Owner,Group3,1,None/Unknown,389
Age Group4,Z,Level3,Renter,Group3,1,None/Unknown,390
Age Group6,Z,Level3,Unknown,Group3,1,None/Unknown,391
Age Group3,X,Level12,Homeowner,Group4,3,1,392
Age Group3,Y,Level3,Unknown,Group2,1,None/Unknown,395
Age Group3,X,Level9,Homeowner,Group4,3,1,400
Age Group2,X,Level3,Unknown,Group6,2,None/Unknown,404
Age Group1,Z,Level3,Homeowner,Group5,2,None/Unknown,409
Age Group5,X,Level4,Homeowner,Group4,5+,3+,410
Age Group3,Y,Level1,Unknown,Group5,2,None/Unknown,411
Age Group6,X,Level2,Homeowner,Group3,2,None/Unknown,412
Age Group4,Y,Level7,Unknown,Group6,1,None/Unknown,413
Age Group4,X,Level4,Unknown,Group3,2,None/Unknown,417
Age Group3,Y,Level4,Unknown,Group4,3,1,418
Age Group4,Y,Level5,Homeowner,Group5,2,None/Unknown,426
Age Group1,Y,Level5,Probable Owner,Group5,2,None/Unknown,428
Age Group1,Y,Level3,Unknown,Group3,1,None/Unknown,432
Age Group3,X,Level2,Homeowner,Group4,3,1,434
Age Group2,X,Level5,Homeowner,Group4,5+,3+,437
Age Group3,X,Level5,Probable Owner,Group5,2,None/Unknown,438
Age Group4,Z,Level5,Homeowner,Group3,1,None/Unknown,441
Age Group2,Y,Level2,Unknown,Group1,2,1,442
